name,description
Women's Tropicwear Sun Blocker Shirt - Forest Green,Women's version. UPF 50+ lightweight nylon shirt with four-way stretch for freedom in the heat. Color: Forest Green.
Women's RadiantShield Fishing Shirt - Blue,"Women's version. UPF 50+ vented shirt with a rod holder loop, chest pockets, and all-day sun protection for anglers. Color: Blue."
Women's RadiantShield Fishing Shirt - White,"Women's version. UPF 50+ vented shirt with a rod holder loop, chest pockets, and all-day sun protection for anglers. Color: White."
Women's RadiantShield Fishing Shirt - Khaki,"Women's version. UPF 50+ vented shirt with a rod holder loop, chest pockets, and all-day sun protection for anglers. Color: Khaki."
Women's RadiantShield Fishing Shirt - Navy,"Women's version. UPF 50+ vented shirt with a rod holder loop, chest pockets, and all-day sun protection for anglers. Color: Navy."
Women's RadiantShield Fishing Shirt - Forest Green,"Women's version. UPF 50+ vented shirt with a rod holder loop, chest pockets, and all-day sun protection for anglers. Color: Forest Green."
Women's Anti-UV Trail Shirt - Blue,Women's version. Technical trail shirt rated UPF 50. Engineered mesh zones ventilate while the woven body blocks UV. Color: Blue.
Women's Anti-UV Trail Shirt - White,Women's version. Technical trail shirt rated UPF 50. Engineered mesh zones ventilate while the woven body blocks UV. Color: White.
Women's Anti-UV Trail Shirt - Khaki,Women's version. Technical trail shirt rated UPF 50. Engineered mesh zones ventilate while the woven body blocks UV. Color: Khaki.
Women's Anti-UV Trail Shirt - Navy,Women's version. Technical trail shirt rated UPF 50. Engineered mesh zones ventilate while the woven body blocks UV. Color: Navy.
Women's Anti-UV Trail Shirt - Forest Green,Women's version. Technical trail shirt rated UPF 50. Engineered mesh zones ventilate while the woven body blocks UV. Color: Forest Green.
Women's SunSmart Hiker Shirt - Blue,Women's version. UPF 50+ rating guards against UV on long summit days. Roll-up sleeve tab for versatile coverage. Color: Blue.
Women's SunSmart Hiker Shirt - White,Women's version. UPF 50+ rating guards against UV on long summit days. Roll-up sleeve tab for versatile coverage. Color: White.
Women's SunSmart Hiker Shirt - Khaki,Women's version. UPF 50+ rating guards against UV on long summit days. Roll-up sleeve tab for versatile coverage. Color: Khaki.
Women's SunSmart Hiker Shirt - Navy,Women's version. UPF 50+ rating guards against UV on long summit days. Roll-up sleeve tab for versatile coverage. Color: Navy.
Women's SunSmart Hiker Shirt - Forest Green,Women's version. UPF 50+ rating guards against UV on long summit days. Roll-up sleeve tab for versatile coverage. Color: Forest Green.
Women's Solar Veil Long-Sleeve - Blue,Women's version. Silky-smooth UPF 50+ fabric reflects sunlight and wicks sweat. Perfect sun-protection layer. Color: Blue.
Women's Solar Veil Long-Sleeve - White,Women's version. Silky-smooth UPF 50+ fabric reflects sunlight and wicks sweat. Perfect sun-protection layer. Color: White.
Women's Solar Veil Long-Sleeve - Khaki,Women's version. Silky-smooth UPF 50+ fabric reflects sunlight and wicks sweat. Perfect sun-protection layer. Color: Khaki.
Women's Solar Veil Long-Sleeve - Navy,Women's version. Silky-smooth UPF 50+ fabric reflects sunlight and wicks sweat. Perfect sun-protection layer. Color: Navy.
Women's Solar Veil Long-Sleeve - Forest Green,Women's version. Silky-smooth UPF 50+ fabric reflects sunlight and wicks sweat. Perfect sun-protection layer. Color: Forest Green.
Women's EverShade Sun Protection Shirt - Blue,Women's version. Premium UPF 50 shirt with a relaxed outdoor fit and HeiQ Fresh antimicrobial finish. Color: Blue.
Women's EverShade Sun Protection Shirt - White,Women's version. Premium UPF 50 shirt with a relaxed outdoor fit and HeiQ Fresh antimicrobial finish. Color: White.
Women's EverShade Sun Protection Shirt - Khaki,Women's version. Premium UPF 50 shirt with a relaxed outdoor fit and HeiQ Fresh antimicrobial finish. Color: Khaki.
Women's EverShade Sun Protection Shirt - Navy,Women's version. Premium UPF 50 shirt with a relaxed outdoor fit and HeiQ Fresh antimicrobial finish. Color: Navy.
Women's EverShade Sun Protection Shirt - Forest Green,Women's version. Premium UPF 50 shirt with a relaxed outdoor fit and HeiQ Fresh antimicrobial finish. Color: Forest Green.
Men's UPF 50+ Sun Shield Shirt - Blue,"Men's version. Rated UPF 50+, blocks 98% of UV rays. Quick-dry moisture-wicking fabric keeps you cool and protected. Color: Blue."
Men's UPF 50+ Sun Shield Shirt - White,"Men's version. Rated UPF 50+, blocks 98% of UV rays. Quick-dry moisture-wicking fabric keeps you cool and protected. Color: White."
Men's UPF 50+ Sun Shield Shirt - Khaki,"Men's version. Rated UPF 50+, blocks 98% of UV rays. Quick-dry moisture-wicking fabric keeps you cool and protected. Color: Khaki."
Men's UPF 50+ Sun Shield Shirt - Navy,"Men's version. Rated UPF 50+, blocks 98% of UV rays. Quick-dry moisture-wicking fabric keeps you cool and protected. Color: Navy."
Men's UPF 50+ Sun Shield Shirt - Forest Green,"Men's version. Rated UPF 50+, blocks 98% of UV rays. Quick-dry moisture-wicking fabric keeps you cool and protected. Color: Forest Green."
Men's Solar Defender Long-Sleeve Shirt - Blue,"Men's version. Built-in UPF 50 sun protection with a breathable mesh lining. Ideal for hiking, fishing, and travel. Color: Blue."
Men's Solar Defender Long-Sleeve Shirt - White,"Men's version. Built-in UPF 50 sun protection with a breathable mesh lining. Ideal for hiking, fishing, and travel. Color: White."
Men's Solar Defender Long-Sleeve Shirt - Khaki,"Men's version. Built-in UPF 50 sun protection with a breathable mesh lining. Ideal for hiking, fishing, and travel. Color: Khaki."
Men's Solar Defender Long-Sleeve Shirt - Navy,"Men's version. Built-in UPF 50 sun protection with a breathable mesh lining. Ideal for hiking, fishing, and travel. Color: Navy."
Men's Solar Defender Long-Sleeve Shirt - Forest Green,"Men's version. Built-in UPF 50 sun protection with a breathable mesh lining. Ideal for hiking, fishing, and travel. Color: Forest Green."
Men's UV Block Performance Shirt - Blue,Men's version. High-performance fabric with UPF 50+ rating. Flat-lock seams and underarm vents for active sun protection. Color: Blue.
Men's UV Block Performance Shirt - White,Men's version. High-performance fabric with UPF 50+ rating. Flat-lock seams and underarm vents for active sun protection. Color: White.
Men's UV Block Performance Shirt - Khaki,Men's version. High-performance fabric with UPF 50+ rating. Flat-lock seams and underarm vents for active sun protection. Color: Khaki.
Men's UV Block Performance Shirt - Navy,Men's version. High-performance fabric with UPF 50+ rating. Flat-lock seams and underarm vents for active sun protection. Color: Navy.
Men's UV Block Performance Shirt - Forest Green,Men's version. High-performance fabric with UPF 50+ rating. Flat-lock seams and underarm vents for active sun protection. Color: Forest Green.
Men's SunGuard Travel Shirt - Blue,Men's version. Wrinkle-resistant UPF 50 travel shirt with a hidden chest pocket. Protects against harmful UV rays. Color: Blue.
Men's SunGuard Travel Shirt - White,Men's version. Wrinkle-resistant UPF 50 travel shirt with a hidden chest pocket. Protects against harmful UV rays. Color: White.
Men's SunGuard Travel Shirt - Khaki,Men's version. Wrinkle-resistant UPF 50 travel shirt with a hidden chest pocket. Protects against harmful UV rays. Color: Khaki.
Men's SunGuard Travel Shirt - Navy,Men's version. Wrinkle-resistant UPF 50 travel shirt with a hidden chest pocket. Protects against harmful UV rays. Color: Navy.
Men's SunGuard Travel Shirt - Forest Green,Men's version. Wrinkle-resistant UPF 50 travel shirt with a hidden chest pocket. Protects against harmful UV rays. Color: Forest Green.
Men's Tropicwear Sun Blocker Shirt - Blue,Men's version. UPF 50+ lightweight nylon shirt with four-way stretch for freedom in the heat. Color: Blue.
Men's Tropicwear Sun Blocker Shirt - White,Men's version. UPF 50+ lightweight nylon shirt with four-way stretch for freedom in the heat. Color: White.
Men's Tropicwear Sun Blocker Shirt - Khaki,Men's version. UPF 50+ lightweight nylon shirt with four-way stretch for freedom in the heat. Color: Khaki.
Men's Tropicwear Sun Blocker Shirt - Navy,Men's version. UPF 50+ lightweight nylon shirt with four-way stretch for freedom in the heat. Color: Navy.
Men's Tropicwear Sun Blocker Shirt - Forest Green,Men's version. UPF 50+ lightweight nylon shirt with four-way stretch for freedom in the heat. Color: Forest Green.
Men's RadiantShield Fishing Shirt - Blue,"Men's version. UPF 50+ vented shirt with a rod holder loop, chest pockets, and all-day sun protection for anglers. Color: Blue."
Men's RadiantShield Fishing Shirt - White,"Men's version. UPF 50+ vented shirt with a rod holder loop, chest pockets, and all-day sun protection for anglers. Color: White."
Men's RadiantShield Fishing Shirt - Khaki,"Men's version. UPF 50+ vented shirt with a rod holder loop, chest pockets, and all-day sun protection for anglers. Color: Khaki."
Men's RadiantShield Fishing Shirt - Navy,"Men's version. UPF 50+ vented shirt with a rod holder loop, chest pockets, and all-day sun protection for anglers. Color: Navy."
Men's RadiantShield Fishing Shirt - Forest Green,"Men's version. UPF 50+ vented shirt with a rod holder loop, chest pockets, and all-day sun protection for anglers. Color: Forest Green."
Men's Anti-UV Trail Shirt - Blue,Men's version. Technical trail shirt rated UPF 50. Engineered mesh zones ventilate while the woven body blocks UV. Color: Blue.
Men's Anti-UV Trail Shirt - White,Men's version. Technical trail shirt rated UPF 50. Engineered mesh zones ventilate while the woven body blocks UV. Color: White.
Men's Anti-UV Trail Shirt - Khaki,Men's version. Technical trail shirt rated UPF 50. Engineered mesh zones ventilate while the woven body blocks UV. Color: Khaki.
Men's Anti-UV Trail Shirt - Navy,Men's version. Technical trail shirt rated UPF 50. Engineered mesh zones ventilate while the woven body blocks UV. Color: Navy.
Men's Anti-UV Trail Shirt - Forest Green,Men's version. Technical trail shirt rated UPF 50. Engineered mesh zones ventilate while the woven body blocks UV. Color: Forest Green.
Men's SunSmart Hiker Shirt - Blue,Men's version. UPF 50+ rating guards against UV on long summit days. Roll-up sleeve tab for versatile coverage. Color: Blue.
Men's SunSmart Hiker Shirt - White,Men's version. UPF 50+ rating guards against UV on long summit days. Roll-up sleeve tab for versatile coverage. Color: White.
Men's SunSmart Hiker Shirt - Khaki,Men's version. UPF 50+ rating guards against UV on long summit days. Roll-up sleeve tab for versatile coverage. Color: Khaki.
Men's SunSmart Hiker Shirt - Navy,Men's version. UPF 50+ rating guards against UV on long summit days. Roll-up sleeve tab for versatile coverage. Color: Navy.
Men's SunSmart Hiker Shirt - Forest Green,Men's version. UPF 50+ rating guards against UV on long summit days. Roll-up sleeve tab for versatile coverage. Color: Forest Green.
Men's Solar Veil Long-Sleeve - Blue,Men's version. Silky-smooth UPF 50+ fabric reflects sunlight and wicks sweat. Perfect sun-protection layer. Color: Blue.
Men's Solar Veil Long-Sleeve - White,Men's version. Silky-smooth UPF 50+ fabric reflects sunlight and wicks sweat. Perfect sun-protection layer. Color: White.
Men's Solar Veil Long-Sleeve - Khaki,Men's version. Silky-smooth UPF 50+ fabric reflects sunlight and wicks sweat. Perfect sun-protection layer. Color: Khaki.
Men's Solar Veil Long-Sleeve - Navy,Men's version. Silky-smooth UPF 50+ fabric reflects sunlight and wicks sweat. Perfect sun-protection layer. Color: Navy.
Men's Solar Veil Long-Sleeve - Forest Green,Men's version. Silky-smooth UPF 50+ fabric reflects sunlight and wicks sweat. Perfect sun-protection layer. Color: Forest Green.
Men's EverShade Sun Protection Shirt - Blue,Men's version. Premium UPF 50 shirt with a relaxed outdoor fit and HeiQ Fresh antimicrobial finish. Color: Blue.
Men's EverShade Sun Protection Shirt - White,Men's version. Premium UPF 50 shirt with a relaxed outdoor fit and HeiQ Fresh antimicrobial finish. Color: White.
Men's EverShade Sun Protection Shirt - Khaki,Men's version. Premium UPF 50 shirt with a relaxed outdoor fit and HeiQ Fresh antimicrobial finish. Color: Khaki.
Men's EverShade Sun Protection Shirt - Navy,Men's version. Premium UPF 50 shirt with a relaxed outdoor fit and HeiQ Fresh antimicrobial finish. Color: Navy.
Men's EverShade Sun Protection Shirt - Forest Green,Men's version. Premium UPF 50 shirt with a relaxed outdoor fit and HeiQ Fresh antimicrobial finish. Color: Forest Green.
Women's Trailblazer Hiking Shirt - Blue,Women's version. Lightweight polyester-blend shirt with moisture management and underarm gussets. Color: Blue.
Women's Trailblazer Hiking Shirt - White,Women's version. Lightweight polyester-blend shirt with moisture management and underarm gussets. Color: White.
Women's Trailblazer Hiking Shirt - Khaki,Women's version. Lightweight polyester-blend shirt with moisture management and underarm gussets. Color: Khaki.
Women's Trailblazer Hiking Shirt - Navy,Women's version. Lightweight polyester-blend shirt with moisture management and underarm gussets. Color: Navy.
Women's Trailblazer Hiking Shirt - Forest Green,Women's version. Lightweight polyester-blend shirt with moisture management and underarm gussets. Color: Forest Green.
Women's Summit Quick-Dry Shirt - Blue,Women's version. Stretchy quick-dry fabric with a zippered chest pocket for trail essentials. Color: Blue.
Women's Summit Quick-Dry Shirt - White,Women's version. Stretchy quick-dry fabric with a zippered chest pocket for trail essentials. Color: White.
Women's Summit Quick-Dry Shirt - Khaki,Women's version. Stretchy quick-dry fabric with a zippered chest pocket for trail essentials. Color: Khaki.
Women's Summit Quick-Dry Shirt - Navy,Women's version. Stretchy quick-dry fabric with a zippered chest pocket for trail essentials. Color: Navy.
Women's Summit Quick-Dry Shirt - Forest Green,Women's version. Stretchy quick-dry fabric with a zippered chest pocket for trail essentials. Color: Forest Green.
Women's Peak Performance Trail Shirt - Blue,Women's version. Four-way stretch fabric in a relaxed athletic fit for warm-weather hikes. Color: Blue.
Women's Peak Performance Trail Shirt - White,Women's version. Four-way stretch fabric in a relaxed athletic fit for warm-weather hikes. Color: White.
Women's Peak Performance Trail Shirt - Khaki,Women's version. Four-way stretch fabric in a relaxed athletic fit for warm-weather hikes. Color: Khaki.
Women's Peak Performance Trail Shirt - Navy,Women's version. Four-way stretch fabric in a relaxed athletic fit for warm-weather hikes. Color: Navy.
Women's Peak Performance Trail Shirt - Forest Green,Women's version. Four-way stretch fabric in a relaxed athletic fit for warm-weather hikes. Color: Forest Green.
Women's Ridgeline Vented Shirt - Blue,Women's version. Back venting panel and moisture-wicking fabric keep you cool on steep ascents. Color: Blue.
Women's Ridgeline Vented Shirt - White,Women's version. Back venting panel and moisture-wicking fabric keep you cool on steep ascents. Color: White.
Women's Ridgeline Vented Shirt - Khaki,Women's version. Back venting panel and moisture-wicking fabric keep you cool on steep ascents. Color: Khaki.
Women's Ridgeline Vented Shirt - Navy,Women's version. Back venting panel and moisture-wicking fabric keep you cool on steep ascents. Color: Navy.
Women's Ridgeline Vented Shirt - Forest Green,Women's version. Back venting panel and moisture-wicking fabric keep you cool on steep ascents. Color: Forest Green.
Women's Pathfinder Hiking Shirt - Blue,Women's version. Durable ripstop with reinforced elbows and button-roll sleeves. Color: Blue.
Women's Pathfinder Hiking Shirt - White,Women's version. Durable ripstop with reinforced elbows and button-roll sleeves. Color: White.
Women's Pathfinder Hiking Shirt - Khaki,Women's version. Durable ripstop with reinforced elbows and button-roll sleeves. Color: Khaki.
Women's Pathfinder Hiking Shirt - Navy,Women's version. Durable ripstop with reinforced elbows and button-roll sleeves. Color: Navy.
Women's Pathfinder Hiking Shirt - Forest Green,Women's version. Durable ripstop with reinforced elbows and button-roll sleeves. Color: Forest Green.
Women's Canyon Trekker Shirt - Blue,Women's version. Ultra-light with a breathable open-mesh back. Sits comfortably under a loaded pack. Color: Blue.
Women's Canyon Trekker Shirt - White,Women's version. Ultra-light with a breathable open-mesh back. Sits comfortably under a loaded pack. Color: White.
Women's Canyon Trekker Shirt - Khaki,Women's version. Ultra-light with a breathable open-mesh back. Sits comfortably under a loaded pack. Color: Khaki.
Women's Canyon Trekker Shirt - Navy,Women's version. Ultra-light with a breathable open-mesh back. Sits comfortably under a loaded pack. Color: Navy.
Women's Canyon Trekker Shirt - Forest Green,Women's version. Ultra-light with a breathable open-mesh back. Sits comfortably under a loaded pack. Color: Forest Green.
Women's Switchback Trail Top - Blue,Women's version. Slim athletic cut with odour-resistant fabric. Works from trailhead to town. Color: Blue.
Women's Switchback Trail Top - White,Women's version. Slim athletic cut with odour-resistant fabric. Works from trailhead to town. Color: White.
Women's Switchback Trail Top - Khaki,Women's version. Slim athletic cut with odour-resistant fabric. Works from trailhead to town. Color: Khaki.
Women's Switchback Trail Top - Navy,Women's version. Slim athletic cut with odour-resistant fabric. Works from trailhead to town. Color: Navy.
Women's Switchback Trail Top - Forest Green,Women's version. Slim athletic cut with odour-resistant fabric. Works from trailhead to town. Color: Forest Green.
Women's Basecamp Active Shirt - Blue,Women's version. Jersey-knit active shirt blends comfort and performance for multi-day trekking. Color: Blue.
Women's Basecamp Active Shirt - White,Women's version. Jersey-knit active shirt blends comfort and performance for multi-day trekking. Color: White.
Women's Basecamp Active Shirt - Khaki,Women's version. Jersey-knit active shirt blends comfort and performance for multi-day trekking. Color: Khaki.
Women's Basecamp Active Shirt - Navy,Women's version. Jersey-knit active shirt blends comfort and performance for multi-day trekking. Color: Navy.
Women's Basecamp Active Shirt - Forest Green,Women's version. Jersey-knit active shirt blends comfort and performance for multi-day trekking. Color: Forest Green.
Women's Ridgewalk Stretch Shirt - Blue,Women's version. Two-way stretch woven for unrestricted movement. Chest pocket packs flat. Color: Blue.
Women's Ridgewalk Stretch Shirt - White,Women's version. Two-way stretch woven for unrestricted movement. Chest pocket packs flat. Color: White.
Women's Ridgewalk Stretch Shirt - Khaki,Women's version. Two-way stretch woven for unrestricted movement. Chest pocket packs flat. Color: Khaki.
Women's Ridgewalk Stretch Shirt - Navy,Women's version. Two-way stretch woven for unrestricted movement. Chest pocket packs flat. Color: Navy.
Women's Ridgewalk Stretch Shirt - Forest Green,Women's version. Two-way stretch woven for unrestricted movement. Chest pocket packs flat. Color: Forest Green.
Women's Backcountry Guide Shirt - Blue,"Women's version. Guide-inspired shirt with reinforced collar, hidden document pocket, and easy-care fabric. Color: Blue."
Women's Backcountry Guide Shirt - White,"Women's version. Guide-inspired shirt with reinforced collar, hidden document pocket, and easy-care fabric. Color: White."
Women's Backcountry Guide Shirt - Khaki,"Women's version. Guide-inspired shirt with reinforced collar, hidden document pocket, and easy-care fabric. Color: Khaki."
Women's Backcountry Guide Shirt - Navy,"Women's version. Guide-inspired shirt with reinforced collar, hidden document pocket, and easy-care fabric. Color: Navy."
Women's Backcountry Guide Shirt - Forest Green,"Women's version. Guide-inspired shirt with reinforced collar, hidden document pocket, and easy-care fabric. Color: Forest Green."
Men's Trailblazer Hiking Shirt - Blue,Men's version. Lightweight polyester-blend shirt with moisture management and underarm gussets. Color: Blue.
Men's Trailblazer Hiking Shirt - White,Men's version. Lightweight polyester-blend shirt with moisture management and underarm gussets. Color: White.
Men's Trailblazer Hiking Shirt - Khaki,Men's version. Lightweight polyester-blend shirt with moisture management and underarm gussets. Color: Khaki.
Men's Trailblazer Hiking Shirt - Navy,Men's version. Lightweight polyester-blend shirt with moisture management and underarm gussets. Color: Navy.
Men's Trailblazer Hiking Shirt - Forest Green,Men's version. Lightweight polyester-blend shirt with moisture management and underarm gussets. Color: Forest Green.
Men's Summit Quick-Dry Shirt - Blue,Men's version. Stretchy quick-dry fabric with a zippered chest pocket for trail essentials. Color: Blue.
Men's Summit Quick-Dry Shirt - White,Men's version. Stretchy quick-dry fabric with a zippered chest pocket for trail essentials. Color: White.
Men's Summit Quick-Dry Shirt - Khaki,Men's version. Stretchy quick-dry fabric with a zippered chest pocket for trail essentials. Color: Khaki.
Men's Summit Quick-Dry Shirt - Navy,Men's version. Stretchy quick-dry fabric with a zippered chest pocket for trail essentials. Color: Navy.
Men's Summit Quick-Dry Shirt - Forest Green,Men's version. Stretchy quick-dry fabric with a zippered chest pocket for trail essentials. Color: Forest Green.
Men's Peak Performance Trail Shirt - Blue,Men's version. Four-way stretch fabric in a relaxed athletic fit for warm-weather hikes. Color: Blue.
Men's Peak Performance Trail Shirt - White,Men's version. Four-way stretch fabric in a relaxed athletic fit for warm-weather hikes. Color: White.
Men's Peak Performance Trail Shirt - Khaki,Men's version. Four-way stretch fabric in a relaxed athletic fit for warm-weather hikes. Color: Khaki.
Men's Peak Performance Trail Shirt - Navy,Men's version. Four-way stretch fabric in a relaxed athletic fit for warm-weather hikes. Color: Navy.
Men's Peak Performance Trail Shirt - Forest Green,Men's version. Four-way stretch fabric in a relaxed athletic fit for warm-weather hikes. Color: Forest Green.
Men's Ridgeline Vented Shirt - Blue,Men's version. Back venting panel and moisture-wicking fabric keep you cool on steep ascents. Color: Blue.
Men's Ridgeline Vented Shirt - White,Men's version. Back venting panel and moisture-wicking fabric keep you cool on steep ascents. Color: White.
Men's Ridgeline Vented Shirt - Khaki,Men's version. Back venting panel and moisture-wicking fabric keep you cool on steep ascents. Color: Khaki.
Men's Ridgeline Vented Shirt - Navy,Men's version. Back venting panel and moisture-wicking fabric keep you cool on steep ascents. Color: Navy.
Men's Ridgeline Vented Shirt - Forest Green,Men's version. Back venting panel and moisture-wicking fabric keep you cool on steep ascents. Color: Forest Green.
Men's Pathfinder Hiking Shirt - Blue,Men's version. Durable ripstop with reinforced elbows and button-roll sleeves. Color: Blue.
Men's Pathfinder Hiking Shirt - White,Men's version. Durable ripstop with reinforced elbows and button-roll sleeves. Color: White.
Men's Pathfinder Hiking Shirt - Khaki,Men's version. Durable ripstop with reinforced elbows and button-roll sleeves. Color: Khaki.
Men's Pathfinder Hiking Shirt - Navy,Men's version. Durable ripstop with reinforced elbows and button-roll sleeves. Color: Navy.
Men's Pathfinder Hiking Shirt - Forest Green,Men's version. Durable ripstop with reinforced elbows and button-roll sleeves. Color: Forest Green.
Men's Canyon Trekker Shirt - Blue,Men's version. Ultra-light with a breathable open-mesh back. Sits comfortably under a loaded pack. Color: Blue.
Men's Canyon Trekker Shirt - White,Men's version. Ultra-light with a breathable open-mesh back. Sits comfortably under a loaded pack. Color: White.
Men's Canyon Trekker Shirt - Khaki,Men's version. Ultra-light with a breathable open-mesh back. Sits comfortably under a loaded pack. Color: Khaki.
Men's Canyon Trekker Shirt - Navy,Men's version. Ultra-light with a breathable open-mesh back. Sits comfortably under a loaded pack. Color: Navy.
Men's Canyon Trekker Shirt - Forest Green,Men's version. Ultra-light with a breathable open-mesh back. Sits comfortably under a loaded pack. Color: Forest Green.
Men's Switchback Trail Top - Blue,Men's version. Slim athletic cut with odour-resistant fabric. Works from trailhead to town. Color: Blue.
Men's Switchback Trail Top - White,Men's version. Slim athletic cut with odour-resistant fabric. Works from trailhead to town. Color: White.
Men's Switchback Trail Top - Khaki,Men's version. Slim athletic cut with odour-resistant fabric. Works from trailhead to town. Color: Khaki.
Men's Switchback Trail Top - Navy,Men's version. Slim athletic cut with odour-resistant fabric. Works from trailhead to town. Color: Navy.
Men's Switchback Trail Top - Forest Green,Men's version. Slim athletic cut with odour-resistant fabric. Works from trailhead to town. Color: Forest Green.
Men's Basecamp Active Shirt - Blue,Men's version. Jersey-knit active shirt blends comfort and performance for multi-day trekking. Color: Blue.
Men's Basecamp Active Shirt - White,Men's version. Jersey-knit active shirt blends comfort and performance for multi-day trekking. Color: White.
Men's Basecamp Active Shirt - Khaki,Men's version. Jersey-knit active shirt blends comfort and performance for multi-day trekking. Color: Khaki.
Men's Basecamp Active Shirt - Navy,Men's version. Jersey-knit active shirt blends comfort and performance for multi-day trekking. Color: Navy.
Men's Basecamp Active Shirt - Forest Green,Men's version. Jersey-knit active shirt blends comfort and performance for multi-day trekking. Color: Forest Green.
Men's Ridgewalk Stretch Shirt - Blue,Men's version. Two-way stretch woven for unrestricted movement. Chest pocket packs flat. Color: Blue.
Men's Ridgewalk Stretch Shirt - White,Men's version. Two-way stretch woven for unrestricted movement. Chest pocket packs flat. Color: White.
Men's Ridgewalk Stretch Shirt - Khaki,Men's version. Two-way stretch woven for unrestricted movement. Chest pocket packs flat. Color: Khaki.
Men's Ridgewalk Stretch Shirt - Navy,Men's version. Two-way stretch woven for unrestricted movement. Chest pocket packs flat. Color: Navy.
Men's Ridgewalk Stretch Shirt - Forest Green,Men's version. Two-way stretch woven for unrestricted movement. Chest pocket packs flat. Color: Forest Green.
Men's Backcountry Guide Shirt - Blue,"Men's version. Guide-inspired shirt with reinforced collar, hidden document pocket, and easy-care fabric. Color: Blue."
Men's Backcountry Guide Shirt - White,"Men's version. Guide-inspired shirt with reinforced collar, hidden document pocket, and easy-care fabric. Color: White."
Men's Backcountry Guide Shirt - Khaki,"Men's version. Guide-inspired shirt with reinforced collar, hidden document pocket, and easy-care fabric. Color: Khaki."
